,date,习近平,李克强,栗战书,汪洋,王沪宁,赵乐际,韩正
451,2018-03-22,5361,1804,182,181,176,59,43
452,2018-03-23,5386,1810,186,181,176,63,43
453,2018-03-24,5392,1810,186,182,176,63,43
454,2018-03-25,5397,1810,186,182,176,63,47
455,2018-03-26,5407,1817,186,182,176,63,47
456,2018-03-28,5434,1821,190,186,178,63,48
457,2018-03-29,5449,1823,190,189,178,63,48
458,2018-03-30,5456,1827,193,189,178,63,48
459,2018-03-31,5472,1827,193,193,178,63,54
460,2018-04-01,5472,1827,193,193,178,63,54
461,2018-04-02,5485,1829,194,195,180,64,56
462,2018-04-03,5502,1831,194,195,180,64,62
463,2018-04-04,5509,1839,197,199,180,64,62
464,2018-04-05,5512,1839,197,199,180,64,62
465,2018-04-06,5516,1839,197,199,180,64,62
466,2018-04-07,5520,1839,197,199,180,64,62
467,2018-04-08,5541,1850,197,199,180,64,62
468,2018-04-09,5553,1863,202,199,180,64,66
469,2018-04-10,5604,1863,202,199,182,64,68
470,2018-04-11,5644,1872,202,199,182,64,68
471,2018-04-12,5674,1887,205,199,182,64,68
472,2018-04-13,5712,1888,205,199,184,64,68
473,2018-04-14,5724,1888,205,204,184,64,68
474,2018-04-15,5748,1888,205,204,184,64,68
475,2018-04-16,5765,1891,205,204,184,64,73
476,2018-04-17,5777,1892,208,204,184,64,73
477,2018-04-18,5787,1894,208,204,184,64,73
478,2018-04-19,5805,1894,208,204,184,64,73
479,2018-04-20,5812,1895,208,206,184,64,77
480,2018-04-22,5827,1895,208,206,184,64,77
481,2018-04-23,5856,1897,213,206,184,64,77
482,2018-04-24,5889,1897,218,213,184,64,81
483,2018-04-25,5898,1899,222,213,184,64,81
484,2018-04-26,5927,1905,224,213,184,64,83
485,2018-04-27,5952,1910,236,219,184,65,84
486,2018-04-28,5992,1910,236,220,184,65,84
487,2018-04-29,6001,1910,236,220,184,65,84
488,2018-04-30,6008,1910,236,220,184,65,84
489,2018-05-01,6013,1910,236,220,184,65,84
490,2018-05-02,6040,1914,236,223,185,65,84
491,2018-05-03,6050,1914,240,223,185,65,84
492,2018-05-04,6073,1915,243,224,187,66,85
493,2018-05-05,6079,1915,243,224,187,66,85
494,2018-05-06,6085,1917,243,224,190,66,85
495,2018-05-07,6101,1937,248,224,190,66,90
496,2018-05-08,6121,1950,248,224,191,66,90
497,2018-05-09,6128,1969,248,224,191,66,90
498,2018-05-10,6133,1985,248,224,191,66,90
499,2018-05-11,6150,2006,248,226,192,66,98
500,2018-05-12,6161,2020,256,226,192,66,98
501,2018-05-13,6164,2020,261,226,192,66,98
502,2018-05-14,6182,2024,261,229,192,71,98
503,2018-05-15,6213,2025,261,231,193,71,106
504,2018-05-16,6243,2027,270,231,194,71,106
505,2018-05-17,6259,2027,270,234,194,71,106
506,2018-05-18,6275,2028,279,234,194,71,110
507,2018-05-19,6297,2032,279,235,195,72,110
508,2018-05-20,6313,2032,279,235,195,72,110
509,2018-05-21,6324,2032,279,235,195,72,110
510,2018-05-22,6342,2040,281,235,195,72,110
511,2018-05-23,6355,2044,281,240,195,73,115
512,2018-05-24,6367,2056,286,246,197,75,117
513,2018-05-26,6376,2056,286,246,197,75,117
514,2018-05-27,6379,2056,286,246,197,75,117
